Faculty Name,Faculty Rank,Faculty Area,Faculty Profile,Faculty Homepage
Greg Baker,UNIVERSITY LECTURER,Instruction,https://www.sfu.ca/computing/people/faculty/gregbaker.html,http://www.cs.sfu.ca/~ggbaker/
Andrei Bulatov,Professor,"Constraint Satisfaction, Complexity of Computation",https://www.sfu.ca/computing/people/faculty/andreibulatov.html,http://www.cs.sfu.ca/~abulatov/
Angel Chang,Assistant Professor ,"Natural Language Processing, Artificial Intelligence, Computer Graphics, Computer Vision",https://www.sfu.ca/computing/people/faculty/angelchang11111111.html,
SHEELAGH CARPENDALE,PROFESSOR,Information Visualization,https://www.sfu.ca/computing/people/faculty/sheelaghcarpendale111111111.html,
LEONID CHINDELEVITCH,ASSISTANT PROFESSOR,Computational Biology,http://www.sfu.ca/computing/people/faculty/leonidchindelevitch.html,http://www.sfu.ca/~leonid
Diana Cukierman,Senior Lecturer,Instruction,https://www.sfu.ca/computing/people/faculty/dianacukierman.html,
James P. Delgrande,Professor,Formal Aspects of Knowledge Representation,https://www.sfu.ca/computing/people/faculty/jamesdelgrande.html,http://www.cs.sfu.ca/~jim/
Toby Donaldson,Senior Lecturer,Instruction,https://www.sfu.ca/computing/people/faculty/tobydonaldson.html,
John Edgar,Senior Lecturer,Instruction,https://www.sfu.ca/computing/people/faculty/johnedgar.html,
Martin Ester,Professor,Databases and Data Mining,https://www.sfu.ca/computing/people/faculty/martinester.html,https://author.sfu.ca/cf#/content/sfu/computing/people/faculty/martinester/people.html
Brian Fraser,Senior Lecturer,Instruction,https://www.sfu.ca/computing/people/faculty/brianfraser.html,http://www.cs.sfu.ca/~bfraser/
Yasutaka Furukawa,Assistant Professor,"Computer Vision, Deep Learning, Computer Graphics & Computational Photography",https://www.sfu.ca/computing/people/faculty/yasutakafurukawa1.html,http://www.cs.sfu.ca/~furukawa/
Uwe Glässer,Professor,"Software Technology, Distributed Communication Architectures",https://www.sfu.ca/computing/people/faculty/uweglasser.html,http://www.cs.sfu.ca/~glaesser/
Mohamed Hefeeda,Professor,"Computer Networks, Multimedia Communications",https://www.sfu.ca/computing/people/faculty/mohamedhefeeda.html,http://www.cs.sfu.ca/~mhefeeda/
Harinder Singh Khangura,Senior Lecturer,Instruction,https://www.sfu.ca/computing/people/faculty/harindersinghkhangura.html,http://www.cs.sfu.ca/~hskhangu/
Anne Lavergne,Senior Lecturer,Instruction,https://www.sfu.ca/computing/people/faculty/annelavergne.html,http://www.cs.sfu.ca/~alavergn/
Maxwell Libbrecht,Assistant Professor,Computational Biology and Machine Learning,https://www.sfu.ca/computing/people/faculty/maxlibbrecht11.html,http://www.cs.sfu.ca/~maxwl/
Jiangchuan (JC) Liu,Professor,Networking and multimedia communications,https://www.sfu.ca/computing/people/faculty/jiangchuanliu.html,http://www.cs.sfu.ca/~jcliu/
David Mitchell,Associate Professor,"Constraint satisfaction, Algorithms for deduction and other reasoning tasks",https://www.sfu.ca/computing/people/faculty/davidmitchell.html,http://www.cs.sfu.ca/~mitchell/
Jian Pei,Professor,Databases and Data Mining,https://www.sfu.ca/computing/people/faculty/jianpei.html,http://www.cs.sfu.ca/~jpei/
Fred Popowich,Professor,Computational Linguistics and Logic Programming,https://www.sfu.ca/computing/people/faculty/fredpopowich.html,http://www.cs.sfu.ca/~popowich/
Arrvindh Shriraman,Associate Professor,"Systems architecture, hardware-software interactions, parallelism, sychronization and imporoving software reliability within specialized fields.",https://www.sfu.ca/computing/people/faculty/ArrvindhShriraman.html,http://www.cs.sfu.ca/~ashriram/
William (Nick) Sumner,Assistant Professor,"Automated debugging, debugging tools, concurrency & parallelism, program analysis & transformation",https://www.sfu.ca/computing/people/faculty/NickSumner.html,http://www.cs.sfu.ca/~wsumner/
Manolis Savva,Assistant Professor ,"Computer Graphics, Computer Vision, Deep Learning",https://www.sfu.ca/computing/people/faculty/manolissavva1111111.html,
IGOR SHINKAR,ASSISTANT Professor,Computational complexity,https://www.sfu.ca/computing/people/faculty/igorshinkar11111.html,https://www.cs.sfu.ca/~ishinkar/
Ping Tan,Associate Professor,"Computer Vision, Computer Graphics, Robotics",https://www.sfu.ca/computing/people/faculty/pingtan.html,http://www.cs.sfu.ca/~pingtan/
Eugenia Ternovska,Associate Professor,"Logical aspects of AI, Knowledge Representation and Reasoning, Efficient Reasoning, Descriptive Complexity and Formal Verification.",https://www.sfu.ca/computing/people/faculty/EugeniaTernovska.html,http://www.cs.sfu.ca/~ter/
Keval Vora,Assistant Professor,"Parallel & Distributed Computing, Irregular Big Data Processing and High Performance Computing",https://www.sfu.ca/computing/people/faculty/kevalvora111.html,http://www.cs.sfu.ca/~keval/
Ke Wang,Professor,"Databases, Data Mining",https://www.sfu.ca/computing/people/faculty/kewang.html,http://www.cs.sfu.ca/~wangk/
Tianzheng Wang,Assistant Professor,"Database Systems, Parallel and Distributed Systems, Concurency, Embedded Systems",https://www.sfu.ca/computing/people/faculty/tianzhengwang111111.html,http://www.cs.sfu.ca/~tzwang/
Kay C. Wiese,Associate Professor,"Bioinformatics, Evolutionary Computation, Computational Intelligence, Visualization",https://www.sfu.ca/computing/people/faculty/kaywiese.html,http://www.cs.sfu.ca/~wiese/
KangKang Yin,Associate Professor,"Computer Animation, Computer Graphics, Humanoid Robotics, Machine Learning, Multimedia Analysis",https://www.sfu.ca/computing/people/faculty/kangkangyin.html,http://www.cs.sfu.ca/~kkyin/
Brad Bart,SENIOR LECTURER ,Instruction,https://www.sfu.ca/computing/people/faculty/bradleybart.html,http://www.cs.sfu.ca/~bbart/
Binay Bhattacharya,Professor,"Computational Geometry, Pattern Recognition",https://www.sfu.ca/computing/people/faculty/binaybhattacharya.html,http://www.cs.sfu.ca/~binay/
Robert D. Cameron,Professor,Software Engineering Languages; Electronic Publication,https://www.sfu.ca/computing/people/faculty/robertdcameron.html,http://www.cs.sfu.ca/~cameron/
Mo Chen,Assistant Professor,Robotics and Autonomous Systems,https://www.sfu.ca/computing/people/faculty/mochen1111.html,
Parmit Chilana,Assistant Professor,Human-Computer Interaction,http://www.sfu.ca/computing/people/faculty/parmitchilana.html,http://hci.cs.sfu.ca/
Ryan C.N. D'Arcy,Professor,Neuroscience,https://www.sfu.ca/computing/people/faculty/ryandarcy.html,
Mark S. Drew,Professor,Computer Vision,https://www.sfu.ca/computing/people/faculty/markdrew.html,http://www.cs.sfu.ca/~mark/
Brian Funt,Professor,Computational Color Vision,https://www.sfu.ca/computing/people/faculty/brianfunt.html,http://www.cs.sfu.ca/~funt/
Qianping Gu,Professor,Network Communications and Algorithms,https://www.sfu.ca/computing/people/faculty/QianpingGu.html,http://www.cs.sfu.ca/~qgu/
Ghassan Hamarneh,Professor,"Medical Image Analysis (Computational/Artificial Intelligence, Computer Vision, Image Processing)",https://www.sfu.ca/computing/people/faculty/ghassanhamarneh.html,http://www.cs.sfu.ca/~hamarneh/
Eugene Fiume,Professor,Computer Graphics,https://www.sfu.ca/computing/people/faculty/eugenefiume.html,
Pavol Hell,Professor,Computational Combinatorics,https://www.sfu.ca/computing/people/faculty/pavolhell.html,http://www.cs.sfu.ca/~pavol/
Valentine Kabanets,Associate Professor,"Pseudorandomness and Derandomization, Complexity of Computation, Automata and Logic",https://www.sfu.ca/computing/people/faculty/valentinekabanets.html,http://www.cs.sfu.ca/~kabanets/
Ramesh Krishnamurti,Professor,Combinatorial Optimization and Approximation Algorithms,https://www.sfu.ca/computing/people/faculty/RameshKrishnamurti.html,http://www.cs.sfu.ca/~ramesh/
Ze-Nian Li,Professor,"Computer Vision, Multimedia",https://www.sfu.ca/computing/people/faculty/ze-lianli.html,http://www.cs.sfu.ca/~li/
Angelica Lim,Assistant Professor of Professional Practice,Human Robot Interaction,https://www.sfu.ca/computing/people/faculty/angelicalim.html,https://www.rosielab.ca/
Greg Mori,Professor,"Computer Vision, Machine Learning",https://www.sfu.ca/computing/people/faculty/gregmori.html,http://www.cs.sfu.ca/~mori/
Steven Pearce,Lecturer,"Instruction, Computational Applied Mathematics",https://www.sfu.ca/computing/people/faculty/stevenpearce.html,http://www.cs.sfu.ca/~stevenp/
Joseph G. Peters,Professor,Network Communications,https://www.sfu.ca/computing/people/faculty/JosephPeters.html,http://www.cs.sfu.ca/~peters/
Janice Regan,Senior Lecturer,Instruction,https://www.sfu.ca/computing/people/faculty/janiceregan.html,http://www.cs.sfu.ca/~jregan/
Ryan Shea,Assistant Professor,Big Data,https://www.sfu.ca/computing/people/faculty/ryanshea.html,http://www.sfu.ca/~rws1
Anoop Sarkar,Professor,Computational Linguistics; Machine Learning; Probabilistic Grammars and Formal language theory,https://www.sfu.ca/computing/people/faculty/anoopsarkar.html,http://www.cs.sfu.ca/~anoop/
Thomas C. Shermer,Professor,Computational Geometry and Computer Graphics,https://www.sfu.ca/computing/people/faculty/thomasshermer.html,http://www.cs.sfu.ca/~shermer/
Oliver Schulte,Professor,"Machine Learning, Computational Logic, Computational Decision Theory",https://www.sfu.ca/computing/people/faculty/oliverschulte.html,http://www.cs.sfu.ca/~oschulte/
Richard Vaughan,Professor,Robotics and Autonomous Systems,https://www.sfu.ca/computing/people/faculty/richardvaughan.html,http://www.cs.sfu.ca/~vaughan/
Jiannan Wang,Assistant Professor,Database Systems and Big Data,https://www.sfu.ca/computing/people/faculty/jiannanwang.html,https://www.cs.sfu.ca/~jnwang/
Cynthia Xie,Senior Lecturer,Mandarin Chinese Instruction for the Dual Degree Program,https://www.sfu.ca/computing/people/faculty/cynthiaxie.html,
Richard (Hao) Zhang,Professor ,Computer Graphics; Geometric Modelling,https://www.sfu.ca/computing/people/faculty/richardzhang.html,http://www.cs.sfu.ca/~haoz/
